"main_production_country","main_production_company","main_producer_name","editor_name","main_director_name","main_actor3_name","main_actor2_name","main_actor1_name","title","imdb_id","imdb_url","imdb_score","budget_in_millions","month_of_release","year_of_release","duration_in_hours","main_lang","total_number_languages","genre_action","genre_adventure","genre_animation","genre_biography","genre_comedy","genre_crime","genre_documentary","genre_drama","genre_family","genre_fantasy","genre_filmnoir","genre_history","genre_horror","genre_music","genre_musical","genre_mystery","genre_realitytv","genre_romance","genre_scifi","genre_shortfilm","genre_sport","genre_thriller","genre_war","genre_western","main_actor1_is_female","main_actor2_is_female","main_actor3_is_female","total_number_of_actors","main_director_is_female","total_number_of_directors","total_number_of_producers","total_number_of_production_companies","total_number_of_production_countries","genre_count","actor1_avg_score","actor1_tier","actor2_avg_score","actor2_tier","actor3_avg_score","actor3_tier","director_avg_score","director_tier","editor_avg_score","editor_tier","producer_avg_score","producer_tier","production_company_avg_score","production_company_tier","main_lang_category","seasons","Continent"
"Australia","Village Roadshow Pictures","Richard D. Zanuck","Chris Lebenzon","Tim Burton","David Kelly","Freddie Highmore","Johnny Depp","Charlie and the Chocolate Factory","tt0367594","http://www.imdb.com/title/tt0367594/",6.8,150,7,2005,1.916666667,"English",1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,1,3,6,3,3,7.05,"Medium",6.6,"Medium",6.8,"Medium",7.04166666666667,"Medium",6.7,"Medium",6.775,"Medium",6.45625,"Medium","English","Summer","OC"
"Australia","New Oz Productions","none","none","Robert Lee King","Amy Adams","Nicholas Brendon","Lauren Ambrose","Psycho Beach Party","tt0206226","http://www.imdb.com/title/tt0206226/",6.3,1.5,8,2000,1.583333333,"English",1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,11,0,1,0,2,2,3,6.55,"Medium",6.3,"Medium",7.1,"Medium",6.3,"Medium",6.3874109263658,"Medium",6.42327868852459,"Medium",6.3,"Medium","English","Summer","OC"
"Australia","Paramount Pictures","Alan Ladd, Jr.","none","Simon Wincer","Treat Williams","Kristy Swanson","Billy Zane","The Phantom","tt0117331","http://www.imdb.com/title/tt0117331/",4.8,45,6,1996,1.666666667,"English",1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,0,1,2,3,2,3,5.86666666666667,"Lower",5,"Lower",5.56666666666667,"Lower",5.1,"Lower",6.3874109263658,"Medium",6.53333333333333,"Medium",6.84390243902439,"Medium","English","Summer","OC"
"Australia","Kennedy Miller Productions","George Miller","Margaret Sixel","George Miller","Brittany Murphy","Robin Williams","Elijah Wood","Happy Feet","tt0366548","http://www.imdb.com/title/tt0366548/",6.5,100,11,2006,1.8,"English",1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,1,3,2,1,3,6.77777777777778,"Medium",6.72105263157895,"Medium",6.21428571428571,"Medium",6.64,"Medium",6.5,"Medium",6.2,"Medium",6.82,"Medium","English","Fall","OC"
"Australia","Lionsgate","Mark Burg","none","Kevin Greutert","Betsy Russell","Costas Mandylor","Tobin Bell","Saw VI","tt1233227","http://www.imdb.com/title/tt1233227/",6,11,10,2009,1.5,"English",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,33,0,1,3,2,4,3,6.01666666666667,"Medium",5.825,"Lower",5.8,"Lower",5.8,"Lower",6.3874109263658,"Medium",6.46666666666667,"Medium",6.56875,"Medium","English","Fall","OC"
"Australia","Dan Films","Chris Brown","Stuart Gazzard","Christopher Smith","Emma Lung","Liam Hemsworth","Melissa George","Triangle","tt1187064","http://www.imdb.com/title/tt1187064/",6.9,12,10,2009,1.65,"English",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,9,0,1,3,7,2,2,6.425,"Medium",7.36666666666667,"Medium",6.9,"Medium",6.9,"Medium",6.9,"Medium",6.9,"Medium",6.9,"Medium","English","Fall","OC"
"Australia","Village Roadshow Pictures","Gilbert Adler","Roger Barton","Steve Beck","Desmond Harrington","Julianna Margulies","Gabriel Byrne","Ghost Ship","tt0288477","http://www.imdb.com/title/tt0288477/",5.4,35,10,2002,1.516666667,"English",3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,10,0,1,3,5,2,3,6.18,"Medium",5.4,"Lower",5.75,"Lower",5.4,"Lower",6.3375,"Medium",6.03333333333333,"Medium",6.45625,"Medium","English","Fall","OC"
"Australia","Walt Disney Pictures","Christopher Chase","Peter Lonsdale","Steve Trenbirth","Mae Whitman","Haley Joel Osment","John Goodman","The Jungle Book 2","tt0283426","http://www.imdb.com/title/tt0283426/",5.3,20,2,2003,1.2,"English",1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,1,2,4,2,3,6.37647058823529,"Medium",6.5,"Medium",5.93333333333333,"Lower",5.3,"Lower",5.3,"Lower",5.3,"Lower",6.59444444444444,"Medium","English","Winter","OC"
"Australia","Porchlight Films","Liz Watts","Luke Doolan","David Michôd","Joel Edgerton","Ben Mendelsohn","James Frecheville","Animal Kingdom","tt1313092","http://www.imdb.com/title/tt1313092/",7.3,5,6,2010,1.883333333,"English",1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,32,0,1,1,1,1,3,7.3,"Medium",6.75,"Medium",6.8,"Medium",7.3,"Medium",7.3,"Medium",7.3,"Medium",7.3,"Medium","English","Summer","OC"
"Australia","Village Roadshow Pictures","Joel Silver","Zach Staenberg","Lilly Wachowski","Laurence Fishburne","Carrie-Anne Moss","Keanu Reeves","The Matrix Reloaded","tt0234215","http://www.imdb.com/title/tt0234215/",7.2,150,5,2003,2.3,"English",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,74,1,2,1,5,2,2,6.78181818181818,"Medium",6.96363636363636,"Medium",6.9,"Medium",7.55,"Medium",7.0375,"Medium",6.57692307692308,"Medium",6.45625,"Medium","English","Spring","OC"
