"name","avg_score","n","tier","role"
"Allen Joseph",7.4,1,"Medium","Actor"
"Allen Payne",6.5,1,"Medium","Actor"
"Ally Sheedy",6.2,3,"Medium","Actor"
"Ally Walker",5.9,1,"Lower","Actor"
"Alyson Hannigan",5.23333333333333,3,"Lower","Actor"
"Amanda Bynes",7.2,1,"Medium","Actor"
"Amanda Crew",6.3,3,"Medium","Actor"
"Amanda Peet",6.07142857142857,7,"Medium","Actor"
"Amanda Seyfried",6.31666666666667,6,"Medium","Actor"
"Amanda Tapping",7.5,1,"Medium","Actor"
"Amara Miller",7.4,1,"Medium","Actor"
"Amber Heard",6.08,5,"Medium","Actor"
"Amber Tamblyn",6.575,4,"Medium","Actor"
"Amber Valletta",6.3,1,"Medium","Actor"
"America Ferrera",6.4,2,"Medium","Actor"
"Amitabh Bachchan",7.45,2,"Medium","Actor"
"Amy Adams",7.1,9,"Medium","Actor"
"Amy Brenneman",5.8,1,"Lower","Actor"
"Amy Irving",6.16666666666667,3,"Medium","Actor"
"Amy Locane",6.5,1,"Medium","Actor"
"Amy Madigan",5.9,1,"Lower","Actor"
"Amy Poehler",5.5,2,"Lower","Actor"
"Amy Ryan",7.2,1,"Medium","Actor"
"Amy Smart",6.8,5,"Medium","Actor"
"Andersen Gabrych",6.8,1,"Medium","Actor"
"Andie MacDowell",6.96666666666667,3,"Medium","Actor"
"André Benjamin",6.9,1,"Medium","Actor"
"Andre Braugher",6.6,3,"Medium","Actor"
"André Dussollier",7.2,1,"Medium","Actor"
"André Ramiro",8.1,1,"Top","Actor"
"Andrea Eckert",8.1,1,"Top","Actor"
"Andrea Marcovicci",5.9,1,"Lower","Actor"
"Andrew Divoff",5.45,2,"Lower","Actor"
"Andrew Garfield",7.46666666666667,3,"Medium","Actor"
"Andrew Keir",6.7,1,"Medium","Actor"
"Andrew McCarthy",5.95,2,"Lower","Actor"
"Andrew Robinson",7.1,1,"Medium","Actor"
"Andy Anderson",6.5,1,"Medium","Actor"
"Andy Devine",7.9,1,"Medium","Actor"
"Andy García",7.6,1,"Medium","Actor"
"Andy Griffith",7.1,1,"Medium","Actor"
"Andy Nyman",7.4,1,"Medium","Actor"
"Andy Samberg",4.6,1,"Lower","Actor"
"Andy Serkis",7.225,4,"Medium","Actor"
"Anessa Ramsey",6.1,1,"Medium","Actor"
"Aneta Corsaut",6.4,1,"Medium","Actor"
"Angela Bassett",6.4125,8,"Medium","Actor"
"Angela Bettis",6.8,1,"Medium","Actor"
"Angela Lansbury",7.175,4,"Medium","Actor"
"Angelina Jolie",6.54117647058824,17,"Medium","Actor"
"Angie Dickinson",7.35,2,"Medium","Actor"
"Angus Macfadyen",6.2,1,"Medium","Actor"
"Angus Scrimm",6.5,1,"Medium","Actor"
"Anika Noni Rose",7.2,1,"Medium","Actor"
"Anil Kapoor",8.1,1,"Top","Actor"
"Anita Briem",5.8,1,"Lower","Actor"
"Anita Pallenberg",5.9,1,"Lower","Actor"
"Anjelica Huston",7.13333333333333,6,"Medium","Actor"
"Ann Miller",8,1,"Top","Actor"
"Ann-Margret",6.75,2,"Medium","Actor"
"Anna Chlumsky",6.7,1,"Medium","Actor"
"Anna Faris",6.51111111111111,9,"Medium","Actor"
"Anna Friel",6,3,"Medium","Actor"
"Anna Hutchison",7.1,1,"Medium","Actor"
"Anna Karina",7.675,4,"Medium","Actor"
"Anna Kendrick",7.53333333333333,3,"Medium","Actor"
"Anna Lee",7.9,1,"Medium","Actor"
"Anna Popplewell",6.75,2,"Medium","Actor"
"Annabella Sciorra",6.7,2,"Medium","Actor"
"Annabeth Gish",2.7,1,"Poor","Actor"
"Annalee Jefferies",6.4,1,"Medium","Actor"
"AnnaSophia Robb",6.575,4,"Medium","Actor"
"Anne Archer",6.9,3,"Medium","Actor"
"Anne Bancroft",7.2,4,"Medium","Actor"
"Anne Baxter",7.93333333333333,3,"Medium","Actor"
"Anne Francis",7.7,1,"Medium","Actor"
"Anne Hathaway",6.48571428571429,14,"Medium","Actor"
"Anne Heche",5.96,5,"Lower","Actor"
"Annette Bening",6.73333333333333,9,"Medium","Actor"
"Annette OToole",6.9,1,"Medium","Actor"
"Annie Corley",7.5,1,"Medium","Actor"
"Annie Girardot",7.4,1,"Medium","Actor"
"Anthony Edwards",5.8,1,"Lower","Actor"
"Anthony Heald",6,1,"Medium","Actor"
"Anthony Hopkins",6.98888888888889,18,"Medium","Actor"
"Anthony LaPaglia",5.4,1,"Lower","Actor"
"Anthony Mackie",6.625,4,"Medium","Actor"
"Anthony Michael Hall",7.9,1,"Medium","Actor"
"Anthony Perkins",6.96666666666667,3,"Medium","Actor"
"Anthony Quayle",7.4,2,"Medium","Actor"
"Anthony Quinn",7.9,3,"Medium","Actor"
"Anthony Rapp",7.1,1,"Medium","Actor"
"Anton Yelchin",6.75,6,"Medium","Actor"
"Antonio Banderas",6.14666666666667,15,"Medium","Actor"
"Antonio de la Torre",6.5,1,"Medium","Actor"
"Antonio Mendoza",7.4,1,"Medium","Actor"
"Antonio Resines",7.7,1,"Medium","Actor"
"Anushka Sharma",6,1,"Medium","Actor"
"April Kent",7.7,1,"Medium","Actor"
"Ara Celi",4.8,1,"Lower","Actor"
"Arbaaz Khan",5,1,"Lower","Actor"
"Ariane",6.9,1,"Medium","Actor"
"Arielle Kebbel",5,1,"Lower","Actor"
"Arjun Rampal",6.95,2,"Medium","Actor"
"Armand Assante",5.36666666666667,3,"Lower","Actor"
"Armie Hammer",6.1,3,"Medium","Actor"
"Armin Mueller-Stahl",6.5,1,"Medium","Actor"
"Arnold Lucy",8.1,1,"Top","Actor"
"Arnold Schwarzenegger",6.26,20,"Medium","Actor"
"Arnold Vosloo",5.35,2,"Lower","Actor"
"Arsenio Hall",7.4,1,"Medium","Actor"
"Art Carney",6.1,1,"Medium","Actor"
"Art Hindle",6.9,1,"Medium","Actor"
"Arthur Agee",8.3,1,"Top","Actor"
"Arthur Hill",7.3,1,"Medium","Actor"
"Arthur Malet",7.6,1,"Medium","Actor"
"Asa Butterfield",7.05,4,"Medium","Actor"
"Ashley Bell",5.6,1,"Lower","Actor"
"Ashley Eckstein",5.7,1,"Lower","Actor"
"Ashley Judd",6.15454545454545,11,"Medium","Actor"
"Ashley Laurence",7.1,1,"Medium","Actor"
"Ashley Tisdale",3.5,1,"Poor","Actor"
"Ashton Kutcher",6.17777777777778,9,"Medium","Actor"
"Asia Argento",5.2,1,"Lower","Actor"
"Atossa Leoni",7.6,1,"Medium","Actor"
"Aubrey Plaza",6.45,2,"Medium","Actor"
"Audrey Hepburn",7.3,2,"Medium","Actor"
"Audrey Tautou",7.35,4,"Medium","Actor"
"August Schellenberg",5.8,1,"Lower","Actor"
"Austin Butler",5.4,1,"Lower","Actor"
"Austin Pendleton",6.1,1,"Medium","Actor"
"Austin Stoker",5.4,1,"Lower","Actor"
"Ava Gardner",7.4,2,"Medium","Actor"
"Ayelet Zurer",6.7,1,"Medium","Actor"
"Ayush Tandon",8.1,1,"Top","Actor"
"Aziz Ansari",6.2,1,"Medium","Actor"
"Bailee Madison",5.6,1,"Lower","Actor"
"Bam Margera",7.2,1,"Medium","Actor"
"Barack Obama",8.3,1,"Top","Actor"
"Barbara Bach",6.3,1,"Medium","Actor"
"Barbara Baxley",7.8,1,"Medium","Actor"
"Barbara Bel Geddes",8.5,1,"Top","Actor"
"Barbara Cook",6.3,1,"Medium","Actor"
"Barbara Crampton",6.5,3,"Medium","Actor"
"Barbara Eden",6.1,1,"Medium","Actor"
"Barbara Hale",2.8,1,"Poor","Actor"
"Barbara Harris",6.8,1,"Medium","Actor"
"Barbara Hershey",7.22,5,"Medium","Actor"
"Barbara Shelley",7,2,"Medium","Actor"
"Barbara Stanwyck",8.5,1,"Top","Actor"
"Barbara Tyson",6.1,1,"Medium","Actor"
"Barbra Streisand",6.5,3,"Medium","Actor"
"Barney Clark",6.9,1,"Medium","Actor"
"Barret Oliver",7.4,1,"Medium","Actor"
"Barry Bostwick",6.9,2,"Medium","Actor"
"Barry Foster",7.15,2,"Medium","Actor"
"Barry Miller",6.55,2,"Medium","Actor"
"Barry Pepper",7.2,4,"Medium","Actor"
"Barry Primus",6.1,1,"Medium","Actor"
"Barry Watson",4.1,1,"Lower","Actor"
"Basil Rathbone",8,1,"Top","Actor"
"Basil Wallace",5.8,1,"Lower","Actor"
"Beatrice Straight",7.4,1,"Medium","Actor"
"Beau Bridges",6.06666666666667,3,"Medium","Actor"
"Bee Vang",8.2,1,"Top","Actor"
"Bela Lugosi",7.7,1,"Medium","Actor"
"Ben Affleck",6.4,20,"Medium","Actor"
"Ben Barnes",6.6,1,"Medium","Actor"
"Ben Best",6.4,1,"Medium","Actor"
"Ben Browder",7.5,1,"Medium","Actor"
"Ben Chaplin",6.1,1,"Medium","Actor"
"Ben Cross",7.3,1,"Medium","Actor"
"Ben Foster",6.72,5,"Medium","Actor"
"Ben Garant",5.9,1,"Lower","Actor"
"Ben Gazzara",7.4,2,"Medium","Actor"
"Ben Johnson",6.9,2,"Medium","Actor"
"Ben Kingsley",7.03846153846154,13,"Medium","Actor"
"Ben Lyon",7.9,1,"Medium","Actor"
"Ben Mendelsohn",6.75,2,"Medium","Actor"
"Ben Murphy",2.8,1,"Poor","Actor"
