"name","avg_score","n","tier","role"
"Hrithik Roshan",6.9,3,"Medium","Actor"
"Hugh Dancy",6.05,2,"Medium","Actor"
"Hugh Grant",6.75555555555556,9,"Medium","Actor"
"Hugh Jackman",7.00769230769231,13,"Medium","Actor"
"Hugh Keays-Byrne",7,1,"Medium","Actor"
"Hugh Laurie",5.96666666666667,3,"Lower","Actor"
"Hugh Quarshie",6.2,1,"Medium","Actor"
"Hugo Silva",6.3,1,"Medium","Actor"
"Hugo Weaving",7.5,2,"Medium","Actor"
"Humphrey Bogart",8.08,5,"Top","Actor"
"Iain Glen",6.5,2,"Medium","Actor"
"Ian Charleson",7.3,1,"Medium","Actor"
"Ian Hardin",7.3,1,"Medium","Actor"
"Ian Hendry",7.7,2,"Medium","Actor"
"Ian Holm",7.4,5,"Medium","Actor"
"Ian Keith",7.9,1,"Medium","Actor"
"Ian McDiarmid",7.5,1,"Medium","Actor"
"Ian McKellen",7.66666666666667,12,"Medium","Actor"
"Ian McNeice",6.2,1,"Medium","Actor"
"Ian McShane",6.85,2,"Medium","Actor"
"Ian Robison",5.3,1,"Lower","Actor"
"Ian Somerhalder",5.86666666666667,3,"Lower","Actor"
"Ian Ziering",3.3,1,"Poor","Actor"
"Iben Hjejle",7.6,1,"Medium","Actor"
"Ice Cube",6.21666666666667,6,"Medium","Actor"
"Ice-T",5.9,3,"Lower","Actor"
"Ida Lupino",7.6,1,"Medium","Actor"
"Idris Elba",6.63333333333333,3,"Medium","Actor"
"Ileana DCruz",8.3,1,"Top","Actor"
"Imelda Staunton",7.23333333333333,3,"Medium","Actor"
"Imogen Poots",7.15,2,"Medium","Actor"
"Imogene Coca",7.4,1,"Medium","Actor"
"Imran Khan",6,1,"Medium","Actor"
"Ina Claire",8,1,"Top","Actor"
"Inger Stevens",7,1,"Medium","Actor"
"Ingrid Bergman",8.1,4,"Top","Actor"
"Ioan Gruffudd",5.71666666666667,6,"Lower","Actor"
"Ione Skye",7.1,1,"Medium","Actor"
"Irene Bedard",6.5,1,"Medium","Actor"
"Irene Dunne",7,1,"Medium","Actor"
"Irene Miracle",7.7,1,"Medium","Actor"
"Irene Papas",7.8,1,"Medium","Actor"
"Iris Bahr",5.6,1,"Lower","Actor"
"Irrfan Khan",7.2,4,"Medium","Actor"
"Isabel Lucas",6.1,1,"Medium","Actor"
"Isabella Rossellini",7.45,2,"Medium","Actor"
"Isabelle Adjani",6.5,1,"Medium","Actor"
"Isabelle Fuhrman",7,1,"Medium","Actor"
"Isabelle Huppert",7.6,2,"Medium","Actor"
"Isaiah Washington",5.725,4,"Lower","Actor"
"Isela Vega",7.6,1,"Medium","Actor"
"Isla Fisher",6.55,2,"Medium","Actor"
"Israel Broussard",5.7,1,"Lower","Actor"
"Itzhak Perlman",7.3,1,"Medium","Actor"
"Izabela Vidovic",6.5,1,"Medium","Actor"
"Izabella Scorupco",6.7,2,"Medium","Actor"
"Izzy Diaz",6.2,1,"Medium","Actor"
"J. Pat OMalley",7.2,1,"Medium","Actor"
"J. Trevor Edmond",5.9,1,"Lower","Actor"
"Jacinda Barrett",6.5,2,"Medium","Actor"
"Jack Black",6.43333333333333,9,"Medium","Actor"
"Jack Carson",7.95,2,"Medium","Actor"
"Jack Hawkins",8.1,3,"Top","Actor"
"Jack Huston",6.3,1,"Medium","Actor"
"Jack Kehoe",7.8,1,"Medium","Actor"
"Jack Lemmon",7.48333333333333,6,"Medium","Actor"
"Jack MacGowran",7.3,1,"Medium","Actor"
"Jack Nance",7.4,1,"Medium","Actor"
"Jack Nicholson",7.25,16,"Medium","Actor"
"Jack Palance",7.1,2,"Medium","Actor"
"Jack Scanlon",7.8,1,"Medium","Actor"
"Jack Warden",7.9,2,"Medium","Actor"
"Jackie Burroughs",6.7,1,"Medium","Actor"
"Jackie Chan",6.52857142857143,7,"Medium","Actor"
"Jackie Cooper",4.9,1,"Lower","Actor"
"Jackie Earle Haley",7.8,1,"Medium","Actor"
"Jackie Gleason",8.1,1,"Top","Actor"
"Jackie Shroff",7.7,1,"Medium","Actor"
"Jackson Rathbone",4.4,1,"Lower","Actor"
"Jacob Lofland",7.5,1,"Medium","Actor"
"Jacob Pitts",6.6,1,"Medium","Actor"
"Jacob Vargas",5.9,1,"Lower","Actor"
"Jacqueline Bisset",7.4,2,"Medium","Actor"
"Jacqueline Sassard",7.1,1,"Medium","Actor"
"Jacqueline Scott",7.7,1,"Medium","Actor"
"Jacques Villeret",7.7,1,"Medium","Actor"
"Jada Pinkett Smith",6.875,4,"Medium","Actor"
"Jaden Smith",7.05,2,"Medium","Actor"
"Jai Courtney",5.4,1,"Lower","Actor"
"Jaime King",5.4,3,"Lower","Actor"
"Jake Cherry",6.3,1,"Medium","Actor"
"Jake Gyllenhaal",7.13333333333333,12,"Medium","Actor"
"Jake Johnson",7.1,1,"Medium","Actor"
"Jake Muxworthy",4,1,"Poor","Actor"
"Jake T. Austin",5.3,1,"Lower","Actor"
"Jake Weber",7.4,1,"Medium","Actor"
"Jamel Debbouze",6.56666666666667,3,"Medium","Actor"
"James Anderson",8.4,1,"Top","Actor"
"James Arnold Taylor",5.7,1,"Lower","Actor"
"James Badge Dale",7.3,1,"Medium","Actor"
"James Brolin",6.8,1,"Medium","Actor"
"James Brown",8,1,"Top","Actor"
"James Caan",6.71,10,"Medium","Actor"
"James Coburn",6.65,6,"Medium","Actor"
"James Corden",7.2,2,"Medium","Actor"
"James Cromwell",7.075,4,"Medium","Actor"
"James DArcy",7.4,1,"Medium","Actor"
"James DeBello",6.2,2,"Medium","Actor"
"James Fleet",7.1,1,"Medium","Actor"
"James Fox",7.5,2,"Medium","Actor"
"James Franciscus",6.4,2,"Medium","Actor"
"James Franco",6.975,12,"Medium","Actor"
"James Frecheville",7.3,1,"Medium","Actor"
"James Gandolfini",6.46666666666667,3,"Medium","Actor"
"James Garner",8.3,1,"Top","Actor"
"James Hall",7.9,1,"Medium","Actor"
"James Laurenson",8,1,"Top","Actor"
"James Le Gros",6.95,2,"Medium","Actor"
"James Marsden",6.4,7,"Medium","Actor"
"James Mason",7.78,5,"Medium","Actor"
"James McAvoy",6.78333333333333,6,"Medium","Actor"
"James Olson",7.3,1,"Medium","Actor"
"James Purefoy",6.16666666666667,3,"Medium","Actor"
"James Rebhorn",6.45,2,"Medium","Actor"
"James Remar",6.6,3,"Medium","Actor"
"James Russo",7.1,1,"Medium","Actor"
"James Spader",5.825,4,"Lower","Actor"
"James Stewart",8.34285714285714,7,"Top","Actor"
"James Van Der Beek",6.8,1,"Medium","Actor"
"James Woods",7.05714285714286,7,"Medium","Actor"
"Jamie Bell",7,6,"Medium","Actor"
"Jamie Campbell Bower",6,1,"Medium","Actor"
"Jamie Foreman",6.9,1,"Medium","Actor"
"Jamie Foxx",7.28888888888889,9,"Medium","Actor"
"Jamie Lee Curtis",6.47272727272727,11,"Medium","Actor"
"Jamie Renée Smith",5.8,1,"Lower","Actor"
"Jamie Sives",5.9,1,"Lower","Actor"
"Jan-Michael Vincent",7.3,1,"Medium","Actor"
"Jane Adams",7.8,1,"Medium","Actor"
"Jane Alexander",6.8,3,"Medium","Actor"
"Jane Darwell",8.2,1,"Top","Actor"
"Jane Fonda",6.76,5,"Medium","Actor"
"Jane Galloway Heitz",8,1,"Top","Actor"
"Jane Levy",6.5,1,"Medium","Actor"
"Jane Seymour",7.3,1,"Medium","Actor"
"Jane Wyman",8.1,1,"Top","Actor"
"Janeane Garofalo",6.7,2,"Medium","Actor"
"Janet Jackson",4.3,1,"Lower","Actor"
"Janet Leigh",7.5,2,"Medium","Actor"
"Janet Margolin",7.3,1,"Medium","Actor"
"Janet McTeer",6.6,1,"Medium","Actor"
"Janette Scott",6.26666666666667,3,"Medium","Actor"
"Janis Ward",6,1,"Medium","Actor"
"January Jones",6.55,2,"Medium","Actor"
"Jared Gilman",7.8,1,"Medium","Actor"
"Jared Harris",6.9,2,"Medium","Actor"
"Jared Leto",7.2375,8,"Medium","Actor"
"Jared Padalecki",5.9,1,"Lower","Actor"
"Jasmine Trinca",5.6,1,"Lower","Actor"
"Jason Alexander",6.12,5,"Medium","Actor"
"Jason Barry",7,1,"Medium","Actor"
"Jason Bateman",6.4,6,"Medium","Actor"
"Jason Beghe",6.2,1,"Medium","Actor"
"Jason Biggs",6.11428571428571,7,"Medium","Actor"
"Jason Clarke",8.15,2,"Top","Actor"
"Jason Cope",8,1,"Top","Actor"
"Jason Flemyng",6.83333333333333,3,"Medium","Actor"
"Jason Isaacs",6.775,4,"Medium","Actor"
"Jason James Richter",5.8,1,"Lower","Actor"
"Jason Lee",6.5,4,"Medium","Actor"
"Jason London",6.03333333333333,3,"Medium","Actor"
"Jason Marsden",6.9,1,"Medium","Actor"
"Jason Mewes",7.43333333333333,3,"Medium","Actor"
"Jason Patric",6.96666666666667,3,"Medium","Actor"
"Jason Raize",6.7,1,"Medium","Actor"
"Jason Ritter",5.8,1,"Lower","Actor"
"Jason Robards",8.2,2,"Top","Actor"
"Jason Schwartzman",7.06666666666667,6,"Medium","Actor"
"Jason Scott Lee",6.45,2,"Medium","Actor"
"Jason Segel",6.86666666666667,6,"Medium","Actor"
"Jason Spevack",6.2,1,"Medium","Actor"
"Jason Statham",6.39285714285714,14,"Medium","Actor"
"Jason Sudeikis",6.5,3,"Medium","Actor"
"Javier Bardem",7.1,5,"Medium","Actor"
"Jay Baruchel",7.2,2,"Medium","Actor"
"Jay Chandrasekhar",5.95,2,"Lower","Actor"
"Jay Hernandez",5.6,3,"Lower","Actor"
"Jay Mohr",6.06666666666667,3,"Medium","Actor"
"Jaye Davidson",7.15,2,"Medium","Actor"
"Jayma Mays",5.35,2,"Lower","Actor"
"Jean Arthur",8.03333333333333,3,"Top","Actor"
"Jean Gabin",6.9,1,"Medium","Actor"
"Jean Harlow",7.45,2,"Medium","Actor"
"Jean Hersholt",7.8,1,"Medium","Actor"
"Jean Heywood",7.7,1,"Medium","Actor"
"Jean Louisa Kelly",6.9,1,"Medium","Actor"
"Jean Marsh",6.7,1,"Medium","Actor"
"Jean Peters",7.1,1,"Medium","Actor"
"Jean Reno",6.9,6,"Medium","Actor"
"Jean Seberg",6.6,1,"Medium","Actor"
"Jean Simmons",7.5,3,"Medium","Actor"
"Jean-Claude Brialy",7.5,2,"Medium","Actor"
"Jean-Claude Van Damme",5.67777777777778,9,"Lower","Actor"
"Jean-Hugues Anglade",6.5,1,"Medium","Actor"
"Jean-Louis Trintignant",7.8,1,"Medium","Actor"
"Jean-Paul Belmondo",7.75,2,"Medium","Actor"
"Jean-Pierre Darroussin",6.7,1,"Medium","Actor"
"Jeanette MacDonald",7.4,1,"Medium","Actor"
"Jeanne Moreau",7.6,2,"Medium","Actor"
"Jeanne Tripplehorn",7.15,2,"Medium","Actor"
"Jeff Anderson",7.7,2,"Medium","Actor"
"Jeff Bridges",6.88095238095238,21,"Medium","Actor"
"Jeff Cohen",7.8,1,"Medium","Actor"
"Jeff Daniels",6.28,10,"Medium","Actor"
"Jeff East",6.2,1,"Medium","Actor"
"Jeff Fahey",5.3,1,"Lower","Actor"
"Jeff Garlin",5.5,1,"Lower","Actor"
"Jeff Goldblum",6.4,9,"Medium","Actor"
"Jeff Morrow",5.8,1,"Lower","Actor"
"Jeffrey Combs",7.05,2,"Medium","Actor"
"Jeffrey Dean Morgan",6.4,1,"Medium","Actor"
"Jeffrey Donovan",7.8,1,"Medium","Actor"
"Jeffrey Hunter",8,1,"Top","Actor"
"Jeffrey Tambor",6.15,2,"Medium","Actor"
"Jeffrey Wright",6.93333333333333,3,"Medium","Actor"
"Jena Malone",6.825,4,"Medium","Actor"
"Jenn Proske",3.5,1,"Poor","Actor"
"Jenna Elfman",6.5,1,"Medium","Actor"
"Jenna Fischer",6.3,2,"Medium","Actor"
"Jennifer Aniston",6.30555555555556,18,"Medium","Actor"
"Jennifer Beals",6.46666666666667,3,"Medium","Actor"
"Jennifer Carpenter",5.9,2,"Lower","Actor"
"Jennifer Connelly",7.15,10,"Medium","Actor"
"Jennifer Coolidge",6,2,"Medium","Actor"
"Jennifer Garner",6.76666666666667,6,"Medium","Actor"
"Jennifer Grey",6.8,1,"Medium","Actor"
"Jennifer Hale",5.4,2,"Lower","Actor"
"Jennifer Jason Leigh",7,7,"Medium","Actor"
"Jennifer Jones",6.9,1,"Medium","Actor"
"Jennifer Lawrence",7.38,5,"Medium","Actor"
"Jennifer Lopez",5.63333333333333,12,"Lower","Actor"
"Jennifer Love Hewitt",5.525,4,"Lower","Actor"
"Jennifer Morrison",8.3,1,"Top","Actor"
"Jennifer ONeill",6.8,1,"Medium","Actor"
"Jennifer Rubin",6.4,1,"Medium","Actor"
"Jennifer Salt",7,1,"Medium","Actor"
"Jennifer Saunders",7.7,1,"Medium","Actor"
"Jennifer Tilly",5.55,4,"Lower","Actor"
"Jenny Agutter",6.2,2,"Medium","Actor"
"Jenny McCarthy",5.4,1,"Lower","Actor"
"Jenny Wright",6.2,2,"Medium","Actor"
"Jensen Ackles",5.5,1,"Lower","Actor"
"Jere Burns",4.7,1,"Lower","Actor"
"Jeremy Davies",5.9,1,"Lower","Actor"
"Jeremy London",7.2,1,"Medium","Actor"
"Jeremy Northam",6.18,5,"Medium","Actor"
"Jeremy Piven",6.8,2,"Medium","Actor"
"Jeremy Renner",7.08,5,"Medium","Actor"
"Jeremy Sisto",6.2,2,"Medium","Actor"
"Jeremy Suarez",6.25,2,"Medium","Actor"
"Jerry Adler",7.4,1,"Medium","Actor"
"Jerry Lewis",7.03333333333333,3,"Medium","Actor"
"Jerry Mofokeng",7.3,1,"Medium","Actor"
"Jerry OConnell",5.6,1,"Lower","Actor"
"Jerry Orbach",6.35,2,"Medium","Actor"
"Jessalyn Gilsig",6.1,1,"Medium","Actor"
"Jesse Borrego",7.9,1,"Medium","Actor"
"Jesse Bradford",5.96666666666667,3,"Lower","Actor"
"Jesse Eisenberg",6.9125,8,"Medium","Actor"
"Jesse James",5.9,1,"Lower","Actor"
"Jesse Metcalfe",5.8,1,"Lower","Actor"
"Jesse Welles",6.5,1,"Medium","Actor"
"Jessica Alba",5.9625,8,"Lower","Actor"
"Jessica Biel",6.08181818181818,11,"Medium","Actor"
"Jessica Chastain",7,3,"Medium","Actor"
"Jessica Harper",7,2,"Medium","Actor"
"Jessica Hecht",5.8,1,"Lower","Actor"
"Jessica Lange",7.14,5,"Medium","Actor"
"Jessica Lucas",7.1,1,"Medium","Actor"
"Jessica Simpson",5,1,"Lower","Actor"
"Jessica Tandy",7.4,1,"Medium","Actor"
"Jessica Walter",7,1,"Medium","Actor"
"Jessie Royce Landis",7.5,1,"Medium","Actor"
"Jet Li",6.08571428571429,7,"Medium","Actor"
"Jill Clayburgh",7.1,1,"Medium","Actor"
"Jill Ireland",6.46666666666667,3,"Medium","Actor"
"Jill St. John",6.7,1,"Medium","Actor"
"Jillian McWhirter",4.7,1,"Lower","Actor"
"Jim Belushi",6.44,5,"Medium","Actor"
"Jim Broadbent",7.18,5,"Medium","Actor"
"Jim Carrey",6.74375,16,"Medium","Actor"
"Jim Caviezel",6.71428571428571,7,"Medium","Actor"
"Jim Henson",7.05,2,"Medium","Actor"
"Jim Hutton",6.8,1,"Medium","Actor"
"Jim Sturgess",6.73333333333333,3,"Medium","Actor"
"Jim Varney",5.4,1,"Lower","Actor"
"Jimmy Bennett",6.6,1,"Medium","Actor"
"Jimmy Fallon",6.2,1,"Medium","Actor"
"Jimmy Shergill",7.8,1,"Medium","Actor"
"Jirantanin Pitakporntrakul",5.1,1,"Lower","Actor"
"Joan Allen",7.25,6,"Medium","Actor"
"Joan Bennett",7.9,1,"Medium","Actor"
"Joan Chen",7.8,1,"Medium","Actor"
"Joan Crawford",8.06666666666667,3,"Top","Actor"
"Joan Cusack",6.42857142857143,7,"Medium","Actor"
"Joan Fontaine",7.3,3,"Medium","Actor"
"Joan Leslie",7.8,1,"Medium","Actor"
"Joan Plowright",6.15,2,"Medium","Actor"
"Joan Severance",6.3,2,"Medium","Actor"
"Joanna Cassidy",6.85,2,"Medium","Actor"
"Joanne Dru",7.6,2,"Medium","Actor"
"Joanne Samuel",7,1,"Medium","Actor"
"Joanne Whalley",6.9,2,"Medium","Actor"
"Joaquim de Almeida",7.2,1,"Medium","Actor"
"Joaquin Phoenix",7.14166666666667,12,"Medium","Actor"
"JoBeth Williams",6.43333333333333,3,"Medium","Actor"
"Jodelle Ferland",6.8,2,"Medium","Actor"
"Jodi Benson",6.3,1,"Medium","Actor"
"Jodie Foster",7.12857142857143,7,"Medium","Actor"
"Jodie Whittaker",6.6,1,"Medium","Actor"
"Joe Anderson",6.6,1,"Medium","Actor"
"Joe Flaherty",6.7,1,"Medium","Actor"
"Joe Folau",6.5,1,"Medium","Actor"
"Joe Morton",5.425,4,"Lower","Actor"
"Joe Pantoliano",8.6,1,"Top","Actor"
"Joe Pesci",7.25555555555556,9,"Medium","Actor"
"Joe Piscopo",5.7,2,"Lower","Actor"
"Joe Silver",6.4,1,"Medium","Actor"
"Joe Spinell",6.5,1,"Medium","Actor"
"Joel Courtney",7.1,1,"Medium","Actor"
"Joel Edgerton",6.8,2,"Medium","Actor"
"Joel Kinnaman",6.6,1,"Medium","Actor"
"Joel McCrea",7.7,3,"Medium","Actor"
"Joel McHale",6.5,1,"Medium","Actor"
"Joely Fisher",4.1,1,"Lower","Actor"
"Joely Richardson",6.35,2,"Medium","Actor"
"Joey King",6.4,1,"Medium","Actor"
"Joey Lauren Adams",5.975,4,"Lower","Actor"
"Joey Lawrence",6.7,1,"Medium","Actor"
"Johanna Braddy",4.6,1,"Lower","Actor"
"Johanna Wokalek",7.4,1,"Medium","Actor"
"John Abraham",6.6,1,"Medium","Actor"
"John Agar",7.3,2,"Medium","Actor"
"John Amos",6.3,1,"Medium","Actor"
"John Ashton",6.85,2,"Medium","Actor"
"John Beck",7.3,1,"Medium","Actor"
"John Belushi",6.95,2,"Medium","Actor"
"John Boles",8,1,"Top","Actor"
"John Boyega",6.6,1,"Medium","Actor"
"John Byner",6.4,1,"Medium","Actor"
"John C. McGinley",6.7,1,"Medium","Actor"
"John C. Reilly",6.84166666666667,12,"Medium","Actor"
"John Candy",6.28,5,"Medium","Actor"
"John Carradine",6.95,2,"Medium","Actor"
"John Cassavetes",7.2,2,"Medium","Actor"
"John Cazale",8.1,3,"Top","Actor"
"John Cho",6.95,2,"Medium","Actor"
"John Cleese",7.6,1,"Medium","Actor"
"John Colicos",6.6,1,"Medium","Actor"
"John Corbett",6.25,2,"Medium","Actor"
"John Cusack",6.75333333333333,15,"Medium","Actor"
"John Dall",8.1,1,"Top","Actor"
"John DAquino",6.2,1,"Medium","Actor"
"John Fiedler",8.9,1,"Top","Actor"
"John Forsythe",7.6,2,"Medium","Actor"
"John Fraser",7.8,1,"Medium","Actor"
"John Garfield",7.4,1,"Medium","Actor"
"John Gavin",8.6,1,"Top","Actor"
"John Getz",7.6,2,"Medium","Actor"
"John Gielgud",6.9,1,"Medium","Actor"
"John Gilbert",8,3,"Top","Actor"
"John Glover",6.6,2,"Medium","Actor"
"John Goodman",6.37647058823529,17,"Medium","Actor"
"John Hannah",6.325,4,"Medium","Actor"
"John Harkins",7.3,1,"Medium","Actor"
"John Hawkes",7.25,2,"Medium","Actor"
"John Heard",6.06666666666667,3,"Medium","Actor"
"John Hurt",7.4,4,"Medium","Actor"
"John Huston",8.3,1,"Top","Actor"
"John Krasinski",6.5,2,"Medium","Actor"
"John Larch",7,1,"Medium","Actor"
"John Laurie",7.9,1,"Medium","Actor"
"John Leguizamo",6.275,8,"Medium","Actor"
"John Lennon",7.7,1,"Medium","Actor"
"John Lithgow",6.5,7,"Medium","Actor"
"John Lone",6.7,4,"Medium","Actor"
"John Lynch",6.8,1,"Medium","Actor"
"John Malkovich",7.06363636363636,11,"Medium","Actor"
"John Marley",6.9,1,"Medium","Actor"
"John McEnery",5.7,1,"Lower","Actor"
"John McMartin",7,1,"Medium","Actor"
"John Michael Higgins",6.45,2,"Medium","Actor"
"John Mills",6.2,1,"Medium","Actor"
"John Pankow",6.2,1,"Medium","Actor"
"John Paul Pitoc",7.2,1,"Medium","Actor"
"John Paul Tremblay",7.3,1,"Medium","Actor"
"John Phillip Law",5.9,1,"Lower","Actor"
"John Pyper-Ferguson",6.9,1,"Medium","Actor"
"John Randolph Jones",7.8,1,"Medium","Actor"
"John Ritter",6.8,1,"Medium","Actor"
"John Robinson",7.2,1,"Medium","Actor"
"John Roselius",7.7,1,"Medium","Actor"
"John Savage",7.4,2,"Medium","Actor"
"John Saxon",6.45,2,"Medium","Actor"
"John Shepherd",4.5,1,"Lower","Actor"
"John Simm",7,1,"Medium","Actor"
"John Slattery",7.1,1,"Medium","Actor"
"John Thaw",6.8,1,"Medium","Actor"
"John Travolta",6.50434782608696,23,"Medium","Actor"
"John Turturro",6,6,"Medium","Actor"
"John Wayne",7.55555555555556,9,"Medium","Actor"
"John Wood",7.35,2,"Medium","Actor"
"John Wray",8.1,1,"Top","Actor"
"Johnny Depp",7.05,28,"Medium","Actor"
"Johnny Knoxville",5.625,4,"Lower","Actor"
"Johnny Simmons",5.8,1,"Lower","Actor"
"Jon Bernthal",6.9,2,"Medium","Actor"
"Jon Favreau",6.68,5,"Medium","Actor"
"Jon Finch",7.5,1,"Medium","Actor"
"Jon Foster",5,1,"Lower","Actor"
"Jon Gries",6.9,1,"Medium","Actor"
"Jon Hall",7.3,1,"Medium","Actor"
"Jon Hamm",6.2,1,"Medium","Actor"
"Jon Heder",6.65,2,"Medium","Actor"
"Jon Lovitz",6.45,2,"Medium","Actor"
"Jon Voight",6.63846153846154,13,"Medium","Actor"
"Jonah Bobo",6.1,1,"Medium","Actor"
"Jonah Hill",6.91,10,"Medium","Actor"
"Jonathan Banks",5.1,1,"Lower","Actor"
"Jonathan Breck",5.75,2,"Lower","Actor"
"Jonathan Daniel Brown",6.7,1,"Medium","Actor"
"Jonathan Frakes",6.43333333333333,3,"Medium","Actor"
"Jonathan Hyde",6.8,1,"Medium","Actor"
"Jonathan Pryce",6.7,5,"Medium","Actor"
"Jonathan Rhys Meyers",6.94,5,"Medium","Actor"
"Jonathan Silverman",6.3,1,"Medium","Actor"
"Jonathan Taylor Thomas",5.3,1,"Lower","Actor"
"Jonathan Tucker",6.05,2,"Medium","Actor"
"Jonny Lee Miller",6.25,4,"Medium","Actor"
"Jordan Ladd",5.6,1,"Lower","Actor"
"Jordana Brewster",6.53333333333333,3,"Medium","Actor"
"Jordi Mollà",6.5,1,"Medium","Actor"
"Josef Sommer",7.5,1,"Medium","Actor"
"Joseph Bologna",5.8,1,"Lower","Actor"
"Joseph Cotten",7.3,3,"Medium","Actor"
"Joseph Cross",6.2,1,"Medium","Actor"
"Joseph Fiennes",7.15,2,"Medium","Actor"
"Joseph Gilgun",6.1,1,"Medium","Actor"
"Joseph Gordon-Levitt",7.17,10,"Medium","Actor"
"Joseph Ruskin",6.7,1,"Medium","Actor"
"Joseph Schildkraut",7.5,1,"Medium","Actor"
"Joseph Wiseman",7.3,1,"Medium","Actor"
"Josh Brolin",6.9,7,"Medium","Actor"
"Josh Charles",6,1,"Medium","Actor"
"Josh Cooke",5.2,1,"Lower","Actor"
"Josh Duhamel",6.56666666666667,3,"Medium","Actor"
"Josh Flitter",7.5,1,"Medium","Actor"
"Josh Gad",6.2,1,"Medium","Actor"
"Josh Hamilton",6.6,1,"Medium","Actor"
"Josh Hartnett",6.41111111111111,9,"Medium","Actor"
"Josh Holloway",5.3,2,"Lower","Actor"
"Josh Hutcherson",6.71428571428571,7,"Medium","Actor"
"Josh Keaton",7.2,1,"Medium","Actor"
"Josh Lucas",6.1,4,"Medium","Actor"
"Josh Peck",5.86666666666667,3,"Lower","Actor"
"Josh Zuckerman",6.6,1,"Medium","Actor"
"Joshua Close",5.8,1,"Lower","Actor"
"Joshua Cox",6.6,1,"Medium","Actor"
"Joshua Leonard",6.4,1,"Medium","Actor"
"Joss Ackland",6.4,1,"Medium","Actor"
"Joy Bryant",4.8,1,"Lower","Actor"
"Juanin Clay",5,1,"Lower","Actor"
"Judd Hirsch",7.9,1,"Medium","Actor"
"Judd Nelson",7.65,2,"Medium","Actor"
"Jude Law",7.01333333333333,15,"Medium","Actor"
"Judge Reinhold",6.52,5,"Medium","Actor"
"Judi Dench",6.86666666666667,6,"Medium","Actor"
"Judith Anderson",5.9,1,"Lower","Actor"
"Judith Barsi",6.6,1,"Medium","Actor"
"Judith ODea",8,1,"Top","Actor"
"Judy Davis",7.15,4,"Medium","Actor"
"Judy Garland",7.4,3,"Medium","Actor"
"Judy Greer",5.85,2,"Lower","Actor"
"Juhi Chawla",5.1,1,"Lower","Actor"
"Jules Munshin",7.7,1,"Medium","Actor"
"Julia Louis-Dreyfus",5.8,2,"Lower","Actor"
"Julia Ormond",6,2,"Medium","Actor"
"Julia Roberts",6.56,15,"Medium","Actor"
"Julia Schacht",6.6,1,"Medium","Actor"
"Julia Stiles",6.83333333333333,3,"Medium","Actor"
"Julian McMahon",5.45,2,"Lower","Actor"
"Julian Morris",5.9,1,"Lower","Actor"
"Julian Sands",7.15,2,"Medium","Actor"
"Julianna Margulies",5.4,1,"Lower","Actor"
"Julianne Moore",6.83888888888889,18,"Medium","Actor"
"Julianne Phillips",6,1,"Medium","Actor"
"Julie Andrews",6.74,5,"Medium","Actor"
"Julie Benz",6,1,"Medium","Actor"
"Julie Carmen",7.2,1,"Medium","Actor"
"Julie Christie",7.73333333333333,3,"Medium","Actor"
"Julie Delpy",7.04285714285714,7,"Medium","Actor"
"Julie Ferrier",6.8,1,"Medium","Actor"
"Julie Hagerty",7.4,2,"Medium","Actor"
"Julie Harris",7,1,"Medium","Actor"
"Julie Kavner",7.4,1,"Medium","Actor"
"Julie Strain",5.3,1,"Lower","Actor"
"Julie Walters",7.4,2,"Medium","Actor"
"Julieta Serrano",7.6,1,"Medium","Actor"
"Juliette Binoche",7.16,5,"Medium","Actor"
"Juliette Lewis",6.28333333333333,6,"Medium","Actor"
"June Diane Raphael",4.2,1,"Lower","Actor"
"Jürgen Prochnow",7.2,1,"Medium","Actor"
"Justin Bartha",4.6,2,"Lower","Actor"
"Justin Chambers",8,1,"Top","Actor"
"Justin Chon",5.8,1,"Lower","Actor"
"Justin Henry",7.2,1,"Medium","Actor"
"Justin Kirk",6.9,1,"Medium","Actor"
"Justin Long",6.6,7,"Medium","Actor"
"Justin Timberlake",6.86,5,"Medium","Actor"
"Justin Welborn",6.1,1,"Medium","Actor"
"Kad Merad",7.1,1,"Medium","Actor"
"Kadeem Hardison",6.9,1,"Medium","Actor"
"Kajol",7.5,2,"Medium","Actor"
"Kal Penn",6.95,2,"Medium","Actor"
"Kane Hodder",4.3,1,"Lower","Actor"
"Kangana Ranaut",6.9,1,"Medium","Actor"
"Kareem Abdul-Jabbar",7.8,1,"Medium","Actor"
"Kareena Kapoor",8.25,2,"Top","Actor"
"Karel Roden",5.4,1,"Lower","Actor"
"Karen Allen",7,1,"Medium","Actor"
"Karen Black",6.2,3,"Medium","Actor"
"Karen Duffy",5,1,"Lower","Actor"
"Karen Lynn Gorney",6.8,1,"Medium","Actor"
"Kari Wuhrer",3.6,1,"Poor","Actor"
"Karin Dor",6.9,1,"Medium","Actor"
"Karine Vanasse",7,1,"Medium","Actor"
"Karl Hardman",8,1,"Top","Actor"
"Karl Malden",7.725,4,"Medium","Actor"
"Karl Urban",6.14,5,"Medium","Actor"
"Kasia Smutniak",6.5,1,"Medium","Actor"
"Kat Dennings",6.8,2,"Medium","Actor"
"Kate Ashfield",8,1,"Top","Actor"
"Kate Beahan",3.6,1,"Poor","Actor"
"Kate Beckinsale",6.59333333333333,15,"Medium","Actor"
"Kate Bosworth",6.38,5,"Medium","Actor"
